feature,importance
тг,11.437070353778099
глюкоза,8.603632671571658
неканцерогенный риск Аммиак * возраст * имт,7.0265484786155445
липиды apoa,6.909035591645412
лпонп,4.856201818563465
профессия,4.209451518174068
вес,3.8850370268481775
пол,3.776844719085319
липиды apo b,3.5649028283586235
стенокардия,3.4295398785153726
рост,3.229766390236658
неканцерогенный риск Фенол * возраст * имт,2.6707894907739456
среднегодовая концентрация Ам. Форм. * возраст * имт,2.484369292429073
об1,2.381069628683534
холестерин,2.365551379010912
возраст,2.301873675838604
неканцерогенный риск Азот диоксид * возраст * имт,2.239721244811252
неканцерогенный риск Взвешенные вещества * возраст * имт,2.1949720083197417
суммарный канцерогенный риск  * возраст * имт,1.4837271750380239
не лпвп,1.428239059669777
неканцерогенный риск Фенол * вес,1.4187695067579529
имт,1.3603587286607834
холестерин лпвп,1.305623868988052
среднегодовая концентрация Ам. Форм. * возраст,1.2475630717075048
неканцерогенный риск Фенол * имт,1.1330008125975373
алкоголь,1.0085310524774707
неканцерогенный риск Сера диоксид * возраст * имт,0.8156859343967999
стенокардия_год,0.7923407047727874
неканцерогенный риск Гидрохлорид * возраст,0.7136386070477978
неканцерогенный риск Бензпирен * возраст * имт,0.7101196262998898
район,0.6010638870390977
неканцерогенный риск Анилин * возраст * имт,0.5869768670879416
f(концентрация) ИЗА  * возраст * имт,0.5842131294805696
сн,0.5282775641440491
неканцерогенный риск Фенол * возраст,0.5121975706400328
f(концентрация) ИЗА  * возраст,0.49685242518913436
неканцерогенный риск Взвешенные вещества * возраст,0.4430670909027045
холестерин лпнп,0.4074772856179475
суммарный канцерогенный риск ,0.4052241163454884
неканцерогенный риск Углерод оксид * возраст * имт,0.38665374126399543
им,0.3782162116830327
неканцерогенный риск Аммиак * возраст,0.37342970636032363
неканцерогенный риск Азот диоксид * вес,0.3393941026290302
неканцерогенный риск Бензпирен * вес,0.33602481472033
среднегодовая концентрация Ам. Форм. * вес,0.3045482676664549
неканцерогенный риск Гидрохлорид * возраст * имт,0.30164378788132984
неканцерогенный риск Формальдегид * возраст,0.2954471032125219
% проб превышающих пдк Азот оксид * возраст,0.2951795737249248
суммарный канцерогенный риск  * возраст,0.2861774935040787
неканцерогенный риск Взвешенные вещества * имт,0.2738820429421226
f(концентрация) Сердечные  * возраст * имт,0.2608016021695818
f(концентрация) Сердечные ,0.24728178361006828
f(концентрация) Сердечные  * вес,0.2336867234188288
% проб превышающих пдк Азот оксид,0.13830696509260995
неканцерогенный риск Фенол,0.0
сн_год,0.0
неканцерогенный риск Углерод(сажа) * вес,0.0
неканцерогенный риск Углерод(сажа) * возраст,0.0
неканцерогенный риск Углерод(сажа) * имт,0.0
неканцерогенный риск Углерод(сажа) * возраст * имт,0.0
неканцерогенный риск Углерод(сажа),0.0
неканцерогенный риск Бензпирен,0.0
неканцерогенный риск Азот диоксид * имт,0.0
неканцерогенный риск Азот диоксид * возраст,0.0
неканцерогенный риск Бензпирен * возраст,0.0
неканцерогенный риск Бензпирен * имт,0.0
неканцерогенный риск Азот диоксид,0.0
f(концентрация) Сердечные  * возраст,0.0
f(концентрация) Сердечные  * имт,0.0
нарушение ритма или ибс,0.0
нарушение_ритма_год,0.0
инсульт,0.0
инсульт_год,0.0
% проб превышающих пдк Азот оксид * вес,0.0
неканцерогенный риск Анилин * имт,0.0
неканцерогенный риск Аммиак * имт,0.0
неканцерогенный риск Углерод оксид * вес,0.0
неканцерогенный риск Углерод оксид,0.0
среднегодовая концентрация Ам. Форм. * имт,0.0
среднегодовая концентрация Ам. Форм.,0.0
неканцерогенный риск Взвешенные вещества * вес,0.0
неканцерогенный риск Взвешенные вещества,0.0
неканцерогенный риск Аммиак * вес,0.0
неканцерогенный риск Анилин * возраст,0.0
неканцерогенный риск Аммиак,0.0
f(концентрация) ИЗА  * имт,0.0
f(концентрация) ИЗА  * вес,0.0
f(концентрация) ИЗА ,0.0
суммарный канцерогенный риск  * имт,0.0
суммарный канцерогенный риск  * вес,0.0
неканцерогенный риск Углерод оксид * возраст,0.0
неканцерогенный риск Углерод оксид * имт,0.0
неканцерогенный риск Сера диоксид,0.0
неканцерогенный риск Сера диоксид * вес,0.0
неканцерогенный риск Сера диоксид * возраст,0.0
неканцерогенный риск Сера диоксид * имт,0.0
% проб превышающих пдк Азот оксид * имт,0.0
% проб превышающих пдк Азот оксид * возраст * имт,0.0
неканцерогенный риск Формальдегид,0.0
неканцерогенный риск Формальдегид * вес,0.0
неканцерогенный риск Формальдегид * имт,0.0
неканцерогенный риск Формальдегид * возраст * имт,0.0
неканцерогенный риск Гидрохлорид,0.0
неканцерогенный риск Гидрохлорид * вес,0.0
неканцерогенный риск Гидрохлорид * имт,0.0
неканцерогенный риск Анилин,0.0
неканцерогенный риск Анилин * вес,0.0
им_год,0.0
