feature,importance
им_год,15.682377550884798
нарушение_ритма_год,10.773074140913936
им,10.621637811578587
тг,2.89033342459978
холестерин лпвп,2.8751019379791467
липиды apo b,2.8510808954984883
холестерин лпнп,2.76971931414314
район,2.677369499270192
алкоголь,2.6298659821512356
не лпвп,2.5924686921740716
профессия,2.487185284993917
сн_год,2.0881295872455583
нарушение ритма или ибс,1.9789322947884223
липиды apoa,1.9227490768725346
рост,1.8681882045545684
глюкоза,1.5003040283851974
холестерин,1.4211400295933052
неканцерогенный риск Фенол * возраст * имт,1.2557609434422354
суммарный канцерогенный риск  * возраст,1.2469822841273748
имт,1.2350008778457153
пол,1.1662716944863085
возраст,1.1455951354756078
вес,1.0122831943383248
суммарный канцерогенный риск  * возраст * имт,1.0109953847300936
аг,0.9838151600178062
неканцерогенный риск Аммиак * возраст * имт,0.8689119190584965
об,0.7789678728613347
аг_год,0.7500149926588137
лпонп,0.7027632773855922
неканцерогенный риск Аммиак * возраст,0.697379815332914
неканцерогенный риск Фенол * возраст,0.681964497836169
среднегодовая концентрация Ам. Форм. * вес,0.6581588001237785
неканцерогенный риск Взвешенные вещества * возраст * имт,0.5746867019931584
сн,0.5695876866069999
неканцерогенный риск Формальдегид * возраст,0.5515433278965611
неканцерогенный риск Аммиак * имт,0.5228340214412615
неканцерогенный риск Фенол * вес,0.5154118395448803
f(концентрация) ИЗА  * возраст * имт,0.45211924940373716
неканцерогенный риск Сера диоксид * имт,0.444154513697978
неканцерогенный риск Гидрохлорид * возраст,0.4435778489525625
неканцерогенный риск Аммиак * вес,0.4211911721466528
f(концентрация) Сердечные  * возраст * имт,0.4027911595173997
среднегодовая концентрация Ам. Форм. * возраст,0.4018937702094963
неканцерогенный риск Формальдегид * возраст * имт,0.3737318928218831
неканцерогенный риск Азот диоксид * возраст,0.373387920488382
суммарный канцерогенный риск  * имт,0.37282056174737405
неканцерогенный риск Взвешенные вещества * возраст,0.35352605175959184
неканцерогенный риск Взвешенные вещества * имт,0.3361804795842604
среднегодовая концентрация Ам. Форм. * возраст * имт,0.3319814676369127
неканцерогенный риск Формальдегид,0.3287426151487393
неканцерогенный риск Формальдегид * имт,0.3265275729434063
неканцерогенный риск Гидрохлорид * возраст * имт,0.31210014158771693
неканцерогенный риск Углерод оксид * возраст,0.3070635596005252
% проб превышающих пдк Азот оксид * имт,0.2996080016773119
неканцерогенный риск Сера диоксид * вес,0.2981899985658312
f(концентрация) ИЗА ,0.2979003807077655
неканцерогенный риск Сера диоксид * возраст * имт,0.2927972402263707
суммарный канцерогенный риск  * вес,0.2917743006610501
неканцерогенный риск Углерод(сажа) * возраст * имт,0.27522184837960795
неканцерогенный риск Формальдегид * вес,0.2747199941378521
f(концентрация) Сердечные  * имт,0.2605108586404689
неканцерогенный риск Сера диоксид * возраст,0.25622111842134093
неканцерогенный риск Углерод(сажа) * возраст,0.23993533218852164
% проб превышающих пдк Азот оксид * вес,0.23175373555203171
неканцерогенный риск Азот диоксид * возраст * имт,0.22659410775621963
f(концентрация) Сердечные ,0.19803835874475637
неканцерогенный риск Углерод(сажа) * имт,0.1928174776249043
неканцерогенный риск Взвешенные вещества * вес,0.1925425611129398
неканцерогенный риск Углерод оксид * вес,0.1849756799520634
среднегодовая концентрация Ам. Форм.,0.18390386944855347
неканцерогенный риск Азот диоксид * имт,0.18348513292752663
среднегодовая концентрация Ам. Форм. * имт,0.16944349552896978
неканцерогенный риск Гидрохлорид * имт,0.15998764648899758
неканцерогенный риск Бензпирен * имт,0.1580844570079525
неканцерогенный риск Бензпирен * возраст,0.1548639417848769
неканцерогенный риск Фенол * имт,0.15011672887759386
неканцерогенный риск Анилин * возраст,0.1495984156621359
неканцерогенный риск Азот диоксид * вес,0.1414198851214284
неканцерогенный риск Бензпирен * возраст * имт,0.12860154585224595
неканцерогенный риск Аммиак,0.1219073215622817
f(концентрация) ИЗА  * вес,0.11295829182514851
неканцерогенный риск Анилин * имт,0.11251254982068382
неканцерогенный риск Углерод оксид * имт,0.10411188321256146
неканцерогенный риск Бензпирен,0.10173584432893891
f(концентрация) Сердечные  * вес,0.1012772213928184
неканцерогенный риск Углерод оксид,0.09901598544110525
f(концентрация) ИЗА  * возраст,0.09610762954646568
f(концентрация) Сердечные  * возраст,0.091792830545358
неканцерогенный риск Бензпирен * вес,0.09040257265133653
неканцерогенный риск Углерод оксид * возраст * имт,0.08544869927422574
суммарный канцерогенный риск ,0.07435728838749524
неканцерогенный риск Гидрохлорид * вес,0.06730263082572067
неканцерогенный риск Анилин * возраст * имт,0.0647645525143158
% проб превышающих пдк Азот оксид,0.056857816589763834
неканцерогенный риск Анилин,0.05650850709380706
инсульт_год,0.055165753889304024
неканцерогенный риск Сера диоксид,0.05059882217111521
неканцерогенный риск Анилин * вес,0.049157169737362415
неканцерогенный риск Азот диоксид,0.047501495058236934
неканцерогенный риск Фенол,0.046941508874306974
% проб превышающих пдк Азот оксид * возраст * имт,0.04652057916320084
неканцерогенный риск Гидрохлорид,0.0453650920769171
неканцерогенный риск Углерод(сажа),0.041451273061535385
неканцерогенный риск Углерод(сажа) * вес,0.03365644317800115
% проб превышающих пдк Азот оксид * возраст,0.013096964651709944
f(концентрация) ИЗА  * имт,0.0
инсульт,0.0
неканцерогенный риск Взвешенные вещества,0.0
