feature,importance
стенокардия_год,25.0388337320089
стенокардия,12.538443572795794
профессия,8.596198996751943
тг,5.425301202842871
об,4.196178602804529
не лпвп,3.6380988381568113
липиды apoa,3.624610283976314
район,3.212015014525571
липиды apo b,2.8276889880164267
глюкоза,2.7990468667036885
лпонп,2.665140093643251
аг,1.8798244594544748
f(концентрация) ИЗА  * возраст,1.8292676052775423
сн,1.7936571039681244
вес,1.6466055612770254
алкоголь,1.569884967126688
сн_год,1.2237512627909248
им_год,1.1133716177070894
рост,1.0716969622150494
холестерин,1.0058527506350152
неканцерогенный риск Взвешенные вещества * возраст,0.9248237703383826
холестерин лпнп,0.8813754119471023
среднегодовая концентрация Ам. Форм. * вес,0.7429257467598087
холестерин лпвп,0.7177582108716857
неканцерогенный риск Гидрохлорид * возраст,0.6682428992341842
неканцерогенный риск Аммиак * возраст * имт,0.5988721454732446
неканцерогенный риск Взвешенные вещества * имт,0.5970215810197615
возраст,0.5807703452130162
неканцерогенный риск Бензпирен * возраст,0.5513420160887751
неканцерогенный риск Гидрохлорид * возраст * имт,0.5262766098784734
неканцерогенный риск Взвешенные вещества * вес,0.5166591927979289
неканцерогенный риск Сера диоксид * имт,0.4914271574598426
неканцерогенный риск Углерод оксид * возраст,0.4866721369395701
неканцерогенный риск Азот диоксид * имт,0.4651608258891209
неканцерогенный риск Углерод(сажа) * возраст * имт,0.44043520157481464
неканцерогенный риск Углерод оксид * вес,0.4048652608931408
неканцерогенный риск Фенол * возраст * имт,0.3953148220650332
неканцерогенный риск Фенол * имт,0.3913521957516442
неканцерогенный риск Формальдегид * возраст,0.31588297988266156
неканцерогенный риск Взвешенные вещества,0.3144586028046483
f(концентрация) Сердечные  * вес,0.28497224295501883
неканцерогенный риск Взвешенные вещества * возраст * имт,0.20228054033706816
среднегодовая концентрация Ам. Форм. * возраст * имт,0.19153591284079297
f(концентрация) ИЗА  * возраст * имт,0.18756943741538662
неканцерогенный риск Азот диоксид * возраст * имт,0.15133018116852318
f(концентрация) ИЗА ,0.12871246016930177
неканцерогенный риск Бензпирен,0.09420590926018499
инсульт_год,0.05228772029287625
неканцерогенный риск Углерод(сажа) * возраст,0.0
неканцерогенный риск Углерод(сажа) * имт,0.0
неканцерогенный риск Бензпирен * вес,0.0
неканцерогенный риск Бензпирен * возраст * имт,0.0
неканцерогенный риск Углерод(сажа) * вес,0.0
неканцерогенный риск Бензпирен * имт,0.0
неканцерогенный риск Углерод(сажа),0.0
пол,0.0
f(концентрация) Сердечные ,0.0
f(концентрация) Сердечные  * возраст,0.0
f(концентрация) Сердечные  * имт,0.0
f(концентрация) Сердечные  * возраст * имт,0.0
неканцерогенный риск Фенол,0.0
неканцерогенный риск Фенол * вес,0.0
неканцерогенный риск Фенол * возраст,0.0
неканцерогенный риск Азот диоксид,0.0
неканцерогенный риск Азот диоксид * вес,0.0
неканцерогенный риск Анилин * имт,0.0
неканцерогенный риск Азот диоксид * возраст,0.0
инсульт,0.0
им,0.0
неканцерогенный риск Анилин * возраст * имт,0.0
% проб превышающих пдк Азот оксид * вес,0.0
неканцерогенный риск Анилин * возраст,0.0
неканцерогенный риск Углерод оксид * имт,0.0
среднегодовая концентрация Ам. Форм. * имт,0.0
среднегодовая концентрация Ам. Форм. * возраст,0.0
среднегодовая концентрация Ам. Форм.,0.0
неканцерогенный риск Аммиак * имт,0.0
неканцерогенный риск Аммиак * возраст,0.0
неканцерогенный риск Аммиак * вес,0.0
неканцерогенный риск Аммиак,0.0
f(концентрация) ИЗА  * имт,0.0
f(концентрация) ИЗА  * вес,0.0
суммарный канцерогенный риск  * возраст * имт,0.0
суммарный канцерогенный риск  * имт,0.0
суммарный канцерогенный риск  * возраст,0.0
суммарный канцерогенный риск  * вес,0.0
суммарный канцерогенный риск ,0.0
имт,0.0
неканцерогенный риск Углерод оксид,0.0
неканцерогенный риск Углерод оксид * возраст * имт,0.0
неканцерогенный риск Анилин * вес,0.0
неканцерогенный риск Сера диоксид,0.0
неканцерогенный риск Анилин,0.0
неканцерогенный риск Гидрохлорид * имт,0.0
неканцерогенный риск Гидрохлорид * вес,0.0
неканцерогенный риск Гидрохлорид,0.0
неканцерогенный риск Формальдегид * возраст * имт,0.0
неканцерогенный риск Формальдегид * имт,0.0
неканцерогенный риск Формальдегид * вес,0.0
неканцерогенный риск Формальдегид,0.0
% проб превышающих пдк Азот оксид * возраст * имт,0.0
% проб превышающих пдк Азот оксид * имт,0.0
% проб превышающих пдк Азот оксид * возраст,0.0
% проб превышающих пдк Азот оксид,0.0
неканцерогенный риск Сера диоксид * возраст * имт,0.0
неканцерогенный риск Сера диоксид * возраст,0.0
неканцерогенный риск Сера диоксид * вес,0.0
аг_год,0.0
