feature,importance
тг,8.927113774594456
пол,8.00060483969555
возраст,6.943640302184562
неканцерогенный риск Фенол * возраст * имт,5.51782454626163
неканцерогенный риск Аммиак * возраст * имт,4.906372407802913
холестерин лпвп,4.624461115366263
среднегодовая концентрация Ам. Форм. * возраст * имт,4.435973402457057
лпонп,4.0224596316469405
алкоголь,3.8601891176715584
вес,3.64494444515957
район,3.426936127862088
рост,3.2600352219674096
глюкоза,3.026120830524494
липиды apo b,2.504777679948417
имт,2.2802525831952893
липиды apoa,2.0537415929148732
не лпвп,1.883099527857314
среднегодовая концентрация Ам. Форм. * вес,1.7184616179372139
об,1.6568402976391028
неканцерогенный риск Гидрохлорид * возраст * имт,1.5552882295864554
холестерин,1.3326194833831335
неканцерогенный риск Сера диоксид * вес,1.3153511701440965
неканцерогенный риск Формальдегид * возраст * имт,1.290253686898622
f(концентрация) ИЗА  * возраст * имт,1.200423574107055
профессия,1.1874543568303473
неканцерогенный риск Формальдегид * возраст,1.185990388705165
неканцерогенный риск Сера диоксид * возраст,0.9989679893462196
неканцерогенный риск Аммиак * возраст,0.9864843474230321
неканцерогенный риск Фенол * вес,0.7976981559388974
холестерин лпнп,0.7505015483736549
неканцерогенный риск Бензпирен * возраст * имт,0.7463074954350367
среднегодовая концентрация Ам. Форм. * возраст,0.7112765904723549
неканцерогенный риск Анилин * возраст * имт,0.7013659465295531
суммарный канцерогенный риск  * возраст * имт,0.6975903437936533
неканцерогенный риск Взвешенные вещества * возраст * имт,0.6276113656851168
среднегодовая концентрация Ам. Форм. * имт,0.6002233817402022
неканцерогенный риск Бензпирен * имт,0.5702457206970886
неканцерогенный риск Аммиак,0.5405796488214668
неканцерогенный риск Сера диоксид * имт,0.5387181881301519
f(концентрация) ИЗА ,0.5016129396815228
f(концентрация) Сердечные  * возраст * имт,0.49865716641090135
суммарный канцерогенный риск ,0.49108285779902705
неканцерогенный риск Азот диоксид * имт,0.4910814605475165
% проб превышающих пдк Азот оксид * возраст,0.4880963661601201
суммарный канцерогенный риск  * вес,0.45193435911092517
f(концентрация) ИЗА  * имт,0.42955724344412344
неканцерогенный риск Фенол * имт,0.41262223271181003
неканцерогенный риск Углерод оксид * возраст * имт,0.37853779180185915
неканцерогенный риск Углерод(сажа),0.33330845019570204
неканцерогенный риск Углерод оксид * имт,0.3085282096483725
суммарный канцерогенный риск  * имт,0.1745556101150125
% проб превышающих пдк Азот оксид * возраст * имт,0.01162463764513926
неканцерогенный риск Бензпирен * вес,0.0
неканцерогенный риск Бензпирен,0.0
неканцерогенный риск Углерод(сажа) * возраст * имт,0.0
неканцерогенный риск Углерод(сажа) * имт,0.0
неканцерогенный риск Бензпирен * возраст,0.0
неканцерогенный риск Углерод(сажа) * возраст,0.0
неканцерогенный риск Углерод(сажа) * вес,0.0
неканцерогенный риск Взвешенные вещества * вес,0.0
f(концентрация) Сердечные ,0.0
f(концентрация) Сердечные  * вес,0.0
f(концентрация) Сердечные  * возраст,0.0
f(концентрация) Сердечные  * имт,0.0
f(концентрация) ИЗА  * возраст,0.0
неканцерогенный риск Фенол * возраст,0.0
f(концентрация) ИЗА  * вес,0.0
неканцерогенный риск Азот диоксид,0.0
неканцерогенный риск Азот диоксид * вес,0.0
неканцерогенный риск Азот диоксид * возраст,0.0
неканцерогенный риск Фенол,0.0
неканцерогенный риск Гидрохлорид * имт,0.0
неканцерогенный риск Анилин * имт,0.0
неканцерогенный риск Анилин * возраст,0.0
неканцерогенный риск Взвешенные вещества * имт,0.0
среднегодовая концентрация Ам. Форм.,0.0
суммарный канцерогенный риск  * возраст,0.0
неканцерогенный риск Взвешенные вещества,0.0
неканцерогенный риск Углерод оксид,0.0
неканцерогенный риск Углерод оксид * вес,0.0
неканцерогенный риск Углерод оксид * возраст,0.0
неканцерогенный риск Сера диоксид,0.0
неканцерогенный риск Сера диоксид * возраст * имт,0.0
% проб превышающих пдк Азот оксид,0.0
% проб превышающих пдк Азот оксид * вес,0.0
% проб превышающих пдк Азот оксид * имт,0.0
неканцерогенный риск Формальдегид,0.0
неканцерогенный риск Формальдегид * вес,0.0
неканцерогенный риск Формальдегид * имт,0.0
неканцерогенный риск Аммиак * имт,0.0
неканцерогенный риск Гидрохлорид,0.0
неканцерогенный риск Гидрохлорид * вес,0.0
неканцерогенный риск Гидрохлорид * возраст,0.0
неканцерогенный риск Взвешенные вещества * возраст,0.0
неканцерогенный риск Аммиак * вес,0.0
неканцерогенный риск Анилин,0.0
неканцерогенный риск Анилин * вес,0.0
неканцерогенный риск Азот диоксид * возраст * имт,0.0
