feature,importance
им_год,11.71180694707668
стенокардия_год,8.165546844894818
им,6.39835360311725
глюкоза,5.470769485284818
об,4.0410247974671325
не лпвп,3.7401036265936196
липиды apo b,3.557844195816282
лпонп,3.3847252449370635
профессия,3.1882588962389398
возраст,2.6893441483148974
район,2.267438762427748
вес,2.2180493762916864
рост,2.201984235606832
неканцерогенный риск Фенол * возраст,2.144652836705934
нарушение_ритма_год,2.140948504480295
алкоголь,2.136600975781347
холестерин,1.9988272296423446
имт,1.6673161118331057
липиды apoa,1.6317534788838979
пол,1.6234988449704766
аг,1.462822578551119
f(концентрация) Сердечные  * возраст * имт,1.3719188368236312
среднегодовая концентрация Ам. Форм. * вес,1.3051516340682199
холестерин лпнп,1.1754143630106593
холестерин лпвп,1.0891296874550453
тг,0.9189729380393404
f(концентрация) ИЗА  * возраст,0.9188314962916573
аг_год,0.8864939877668898
неканцерогенный риск Фенол * возраст * имт,0.815321711559062
суммарный канцерогенный риск  * возраст,0.809902355202434
неканцерогенный риск Взвешенные вещества * возраст * имт,0.7987039250841872
суммарный канцерогенный риск  * имт,0.7754536911391628
неканцерогенный риск Анилин * возраст * имт,0.668134397581849
f(концентрация) ИЗА  * возраст * имт,0.6302151763618516
среднегодовая концентрация Ам. Форм. * имт,0.6232749769553785
неканцерогенный риск Гидрохлорид * возраст,0.6221548702091511
% проб превышающих пдк Азот оксид * возраст,0.5432777391806186
нарушение ритма или ибс,0.5321901229665259
неканцерогенный риск Фенол * вес,0.5234163565084717
неканцерогенный риск Бензпирен * возраст * имт,0.5205711042640113
неканцерогенный риск Углерод(сажа) * возраст * имт,0.4820406123808694
среднегодовая концентрация Ам. Форм.,0.46919635089412465
стенокардия,0.44760702495448185
неканцерогенный риск Азот диоксид * вес,0.4334577234391156
неканцерогенный риск Взвешенные вещества * вес,0.4184545476500275
f(концентрация) ИЗА ,0.41379942598455155
% проб превышающих пдк Азот оксид * возраст * имт,0.4035668486233743
неканцерогенный риск Формальдегид * имт,0.3788511730154543
неканцерогенный риск Аммиак * возраст,0.36944451385349114
неканцерогенный риск Аммиак * возраст * имт,0.3165287974834506
неканцерогенный риск Сера диоксид * возраст * имт,0.30791427948771116
неканцерогенный риск Азот диоксид * возраст * имт,0.30627638131837986
суммарный канцерогенный риск  * возраст * имт,0.28866525337627946
неканцерогенный риск Бензпирен * возраст,0.28266332876673156
неканцерогенный риск Фенол * имт,0.27943152814740924
неканцерогенный риск Гидрохлорид * имт,0.2711731690637389
неканцерогенный риск Азот диоксид * возраст,0.267696932422668
неканцерогенный риск Формальдегид * возраст * имт,0.26489674975783795
неканцерогенный риск Аммиак * вес,0.2537274634256054
неканцерогенный риск Взвешенные вещества * имт,0.25018422577597216
неканцерогенный риск Взвешенные вещества * возраст,0.24183853080599815
неканцерогенный риск Сера диоксид * имт,0.22731835094570593
неканцерогенный риск Гидрохлорид * возраст * имт,0.21516055535301315
неканцерогенный риск Анилин * возраст,0.20955109761203064
неканцерогенный риск Гидрохлорид * вес,0.19518731582481152
неканцерогенный риск Сера диоксид * возраст,0.1706516963135198
инсульт,0.1666636837335597
f(концентрация) Сердечные  * возраст,0.16347241101644538
неканцерогенный риск Сера диоксид,0.16142685704502843
неканцерогенный риск Углерод(сажа) * имт,0.1607425708304779
неканцерогенный риск Азот диоксид * имт,0.15678207729691507
неканцерогенный риск Бензпирен * вес,0.14014212199061368
неканцерогенный риск Углерод оксид * имт,0.1398234400238791
суммарный канцерогенный риск  * вес,0.13203813432159367
неканцерогенный риск Аммиак,0.1270097015733342
неканцерогенный риск Формальдегид * возраст,0.12072578508156709
неканцерогенный риск Углерод(сажа) * вес,0.11738787339189598
% проб превышающих пдк Азот оксид * имт,0.11065846446247819
суммарный канцерогенный риск ,0.11033813669350129
неканцерогенный риск Углерод оксид,0.08502389556166655
среднегодовая концентрация Ам. Форм. * возраст,0.07811673045226673
неканцерогенный риск Анилин,0.07597161704333862
неканцерогенный риск Бензпирен,0.06245959071852399
f(концентрация) ИЗА  * вес,0.05836725551209525
неканцерогенный риск Аммиак * имт,0.04268404513270494
% проб превышающих пдк Азот оксид,0.04044821761150263
неканцерогенный риск Углерод оксид * вес,0.037943225646027846
неканцерогенный риск Формальдегид,0.034082893228171984
неканцерогенный риск Азот диоксид,0.03174372167302071
неканцерогенный риск Сера диоксид * вес,0.03028829970915795
неканцерогенный риск Углерод оксид * возраст * имт,0.028999351746804056
инсульт_год,0.023649832935943874
f(концентрация) Сердечные  * имт,0.01489667000068647
неканцерогенный риск Анилин * вес,0.007026718464036469
неканцерогенный риск Углерод(сажа),0.005602705042012281
неканцерогенный риск Углерод оксид * возраст,0.0
среднегодовая концентрация Ам. Форм. * возраст * имт,0.0
неканцерогенный риск Взвешенные вещества,0.0
неканцерогенный риск Бензпирен * имт,0.0
неканцерогенный риск Формальдегид * вес,0.0
f(концентрация) ИЗА  * имт,0.0
f(концентрация) Сердечные ,0.0
неканцерогенный риск Гидрохлорид,0.0
неканцерогенный риск Анилин * имт,0.0
неканцерогенный риск Углерод(сажа) * возраст,0.0
неканцерогенный риск Фенол,0.0
f(концентрация) Сердечные  * вес,0.0
% проб превышающих пдк Азот оксид * вес,0.0
