feature,importance
стенокардия_год,45.51227415062299
стенокардия,21.801597980020688
сн_год,3.1597678744695474
нарушение ритма или ибс,3.1196630569198707
пол,2.4935055066669176
f(концентрация) Сердечные  * возраст * имт,2.16943907217525
липиды apo b,1.6426575047798653
холестерин лпвп,1.3384756700000673
алкоголь,1.1958406630064353
неканцерогенный риск Аммиак * возраст,1.0693744281021065
неканцерогенный риск Азот диоксид * вес,0.8424328714091633
неканцерогенный риск Сера диоксид * имт,0.8317762884916488
неканцерогенный риск Фенол * возраст * имт,0.8103941363163539
холестерин,0.755359397342237
холестерин лпнп,0.7245167938419864
неканцерогенный риск Фенол * возраст,0.6590242395763504
среднегодовая концентрация Ам. Форм. * вес,0.6456063400084638
неканцерогенный риск Взвешенные вещества * имт,0.6135256365808334
неканцерогенный риск Фенол * вес,0.5981764162303795
среднегодовая концентрация Ам. Форм.,0.5452488864998085
неканцерогенный риск Гидрохлорид * вес,0.5376499528118093
неканцерогенный риск Бензпирен * возраст,0.5049636286768338
неканцерогенный риск Бензпирен,0.5043650341615054
неканцерогенный риск Взвешенные вещества * вес,0.48522968544260003
неканцерогенный риск Бензпирен * возраст * имт,0.4791539890399929
неканцерогенный риск Азот диоксид * возраст * имт,0.4451015707461719
f(концентрация) ИЗА  * возраст,0.44288591502703595
% проб превышающих пдк Азот оксид * возраст,0.43343490645221555
неканцерогенный риск Углерод(сажа) * имт,0.42476567012050925
неканцерогенный риск Углерод оксид,0.4063137587681813
неканцерогенный риск Фенол * имт,0.40073607825873525
инсульт,0.358067228156585
неканцерогенный риск Азот диоксид * имт,0.3502435939755809
неканцерогенный риск Анилин * возраст * имт,0.34729102499791425
неканцерогенный риск Взвешенные вещества * возраст,0.34541737332171574
f(концентрация) Сердечные  * вес,0.28599710513477256
f(концентрация) ИЗА ,0.26258137903334605
f(концентрация) ИЗА  * возраст * имт,0.2607440534061291
тг,0.24973730428798946
суммарный канцерогенный риск  * возраст,0.24937609579594192
неканцерогенный риск Сера диоксид * возраст * имт,0.24388109866431626
f(концентрация) Сердечные  * возраст,0.23647143065335322
липиды apoa,0.22090206740492685
неканцерогенный риск Углерод(сажа) * возраст * имт,0.19580259923579973
f(концентрация) Сердечные  * имт,0.1910620739166681
неканцерогенный риск Взвешенные вещества * возраст * имт,0.17837922519128807
% проб превышающих пдк Азот оксид,0.1579660247420842
неканцерогенный риск Азот диоксид * возраст,0.1555726432913442
% проб превышающих пдк Азот оксид * имт,0.07282854481926343
неканцерогенный риск Формальдегид * имт,0.033793729000959415
суммарный канцерогенный риск ,0.010628302403450758
неканцерогенный риск Углерод(сажа),0.0
неканцерогенный риск Углерод(сажа) * вес,0.0
неканцерогенный риск Углерод(сажа) * возраст,0.0
неканцерогенный риск Анилин * возраст,0.0
неканцерогенный риск Анилин * имт,0.0
неканцерогенный риск Фенол,0.0
неканцерогенный риск Бензпирен * вес,0.0
неканцерогенный риск Бензпирен * имт,0.0
f(концентрация) Сердечные ,0.0
неканцерогенный риск Анилин,0.0
неканцерогенный риск Азот диоксид,0.0
инсульт_год,0.0
сн,0.0
нарушение_ритма_год,0.0
аг,0.0
неканцерогенный риск Анилин * вес,0.0
% проб превышающих пдк Азот оксид * вес,0.0
неканцерогенный риск Гидрохлорид * возраст * имт,0.0
неканцерогенный риск Гидрохлорид * имт,0.0
неканцерогенный риск Аммиак * имт,0.0
неканцерогенный риск Аммиак * вес,0.0
неканцерогенный риск Аммиак,0.0
f(концентрация) ИЗА  * имт,0.0
f(концентрация) ИЗА  * вес,0.0
суммарный канцерогенный риск  * возраст * имт,0.0
суммарный канцерогенный риск  * имт,0.0
суммарный канцерогенный риск  * вес,0.0
имт,0.0
лпонп,0.0
не лпвп,0.0
глюкоза,0.0
район,0.0
профессия,0.0
об1,0.0
вес,0.0
рост,0.0
неканцерогенный риск Аммиак * возраст * имт,0.0
неканцерогенный риск Взвешенные вещества,0.0
среднегодовая концентрация Ам. Форм. * возраст,0.0
возраст,0.0
неканцерогенный риск Гидрохлорид * возраст,0.0
неканцерогенный риск Гидрохлорид,0.0
неканцерогенный риск Формальдегид * возраст * имт,0.0
неканцерогенный риск Формальдегид * возраст,0.0
неканцерогенный риск Формальдегид * вес,0.0
неканцерогенный риск Формальдегид,0.0
% проб превышающих пдк Азот оксид * возраст * имт,0.0
неканцерогенный риск Сера диоксид * возраст,0.0
среднегодовая концентрация Ам. Форм. * имт,0.0
неканцерогенный риск Сера диоксид * вес,0.0
неканцерогенный риск Сера диоксид,0.0
неканцерогенный риск Углерод оксид * возраст * имт,0.0
неканцерогенный риск Углерод оксид * имт,0.0
неканцерогенный риск Углерод оксид * возраст,0.0
неканцерогенный риск Углерод оксид * вес,0.0
среднегодовая концентрация Ам. Форм. * возраст * имт,0.0
аг_год,0.0
