feature,importance
холестерин лпвп,8.588498083180268
не лпвп,6.784931879274432
рост,5.966996661981477
среднегодовая концентрация Ам. Форм. * возраст,4.981608800800531
алкоголь,4.429954441054831
возраст,4.31858822340064
вес,3.7073173350352864
район,3.5856477637077484
липиды apo b,3.4349399871634034
лпонп,2.7648991820188966
липиды apoa,2.4842363029309222
холестерин,2.2727339975359135
профессия,2.1115755898010433
им_год,2.0257973508854086
тг,1.988933264542526
аг,1.8576470188527603
неканцерогенный риск Аммиак * возраст * имт,1.738712830335211
неканцерогенный риск Аммиак * возраст,1.576153647894978
неканцерогенный риск Бензпирен * возраст * имт,1.5064540069447956
холестерин лпнп,1.5059039545487418
об,1.3949617778080896
f(концентрация) ИЗА  * возраст * имт,1.34677277550623
неканцерогенный риск Аммиак * имт,1.3437403865927116
суммарный канцерогенный риск  * возраст * имт,1.2997327391045455
нарушение_ритма_год,1.2515572187635673
глюкоза,1.2438422571739727
неканцерогенный риск Гидрохлорид * возраст,1.154368513910961
неканцерогенный риск Бензпирен * вес,1.072861437797791
f(концентрация) ИЗА  * вес,1.0488579153590913
неканцерогенный риск Гидрохлорид * имт,0.9996184800091071
неканцерогенный риск Взвешенные вещества * возраст,0.9938645862035353
f(концентрация) ИЗА  * возраст,0.9902924902089187
имт,0.9209464066148476
f(концентрация) ИЗА  * имт,0.8997540112297917
f(концентрация) ИЗА ,0.8480132955262183
неканцерогенный риск Сера диоксид * возраст,0.774089595386676
неканцерогенный риск Фенол * возраст * имт,0.7594847029778803
среднегодовая концентрация Ам. Форм.,0.6783278744214885
неканцерогенный риск Гидрохлорид * вес,0.6453775285132992
неканцерогенный риск Бензпирен * возраст,0.6057923069538923
неканцерогенный риск Формальдегид * вес,0.5983292411106194
среднегодовая концентрация Ам. Форм. * вес,0.5756801539900177
суммарный канцерогенный риск  * имт,0.5727835815523148
сн_год,0.5691959421220384
среднегодовая концентрация Ам. Форм. * имт,0.5682477824883544
неканцерогенный риск Азот диоксид * возраст * имт,0.5637629634133375
неканцерогенный риск Фенол * возраст,0.553205018564858
неканцерогенный риск Формальдегид,0.5343988222905708
неканцерогенный риск Сера диоксид * возраст * имт,0.4917283807122856
неканцерогенный риск Взвешенные вещества * имт,0.4907195850625585
f(концентрация) Сердечные  * возраст,0.4843277777867856
суммарный канцерогенный риск  * возраст,0.4639755254687261
% проб превышающих пдк Азот оксид * возраст,0.45678479788807885
f(концентрация) Сердечные  * вес,0.4226159482164836
f(концентрация) Сердечные  * возраст * имт,0.422194933242589
неканцерогенный риск Бензпирен,0.41532195172360453
неканцерогенный риск Сера диоксид,0.4005357057209233
f(концентрация) Сердечные ,0.39442424504600015
среднегодовая концентрация Ам. Форм. * возраст * имт,0.3786224628710148
неканцерогенный риск Углерод оксид * возраст,0.3639225993148059
неканцерогенный риск Анилин * возраст * имт,0.2963516270128357
неканцерогенный риск Взвешенные вещества,0.2567342105191866
неканцерогенный риск Бензпирен * имт,0.2501209210866652
неканцерогенный риск Фенол * имт,0.23148875672004748
неканцерогенный риск Взвешенные вещества * возраст * имт,0.21969265717017653
% проб превышающих пдк Азот оксид * имт,0.196645580383501
неканцерогенный риск Аммиак * вес,0.184552413250586
неканцерогенный риск Аммиак,0.1822218174832952
f(концентрация) Сердечные  * имт,0.14334703245101435
неканцерогенный риск Азот диоксид * вес,0.14054659964832145
% проб превышающих пдк Азот оксид * вес,0.05981914083272904
неканцерогенный риск Гидрохлорид,0.053943042526584176
неканцерогенный риск Анилин * вес,0.052637951334617836
неканцерогенный риск Взвешенные вещества * вес,0.04127243295626907
неканцерогенный риск Анилин,0.040229573370332894
неканцерогенный риск Фенол,0.025832202715440716
им,0.0
неканцерогенный риск Азот диоксид,0.0
неканцерогенный риск Фенол * вес,0.0
стенокардия_год,0.0
неканцерогенный риск Азот диоксид * имт,0.0
неканцерогенный риск Азот диоксид * возраст,0.0
сн,0.0
нарушение ритма или ибс,0.0
стенокардия,0.0
пол,0.0
неканцерогенный риск Углерод(сажа) * возраст * имт,0.0
неканцерогенный риск Углерод(сажа) * имт,0.0
суммарный канцерогенный риск ,0.0
суммарный канцерогенный риск  * вес,0.0
неканцерогенный риск Углерод оксид,0.0
неканцерогенный риск Углерод оксид * вес,0.0
неканцерогенный риск Углерод оксид * имт,0.0
неканцерогенный риск Углерод оксид * возраст * имт,0.0
неканцерогенный риск Сера диоксид * вес,0.0
неканцерогенный риск Сера диоксид * имт,0.0
% проб превышающих пдк Азот оксид,0.0
% проб превышающих пдк Азот оксид * возраст * имт,0.0
неканцерогенный риск Формальдегид * возраст,0.0
неканцерогенный риск Формальдегид * имт,0.0
неканцерогенный риск Формальдегид * возраст * имт,0.0
неканцерогенный риск Гидрохлорид * возраст * имт,0.0
неканцерогенный риск Анилин * возраст,0.0
неканцерогенный риск Анилин * имт,0.0
неканцерогенный риск Углерод(сажа),0.0
неканцерогенный риск Углерод(сажа) * вес,0.0
неканцерогенный риск Углерод(сажа) * возраст,0.0
аг_год,0.0
